Index,SPY.Open,SPY.High,SPY.Low,SPY.Close,SPY.Volume,SPY.Adjusted
2007-01-03,142.25,142.860001,140.570007,141.369995,94807600,105.077583
2007-01-04,141.229996,142.050003,140.610001,141.669998,69620600,105.300583
2007-01-05,141.330002,141.399994,140.380005,140.539993,76645300,104.460648
2007-01-08,140.820007,141.410004,140.25,141.190002,71655000,104.943794
2007-01-09,141.309998,141.600006,140.399994,141.070007,75680100,104.854576
2007-01-10,140.580002,141.570007,140.300003,141.539993,72428000,105.203934
2007-01-11,141.580002,142.619995,141.5,142.160004,54476800,105.664757
2007-01-12,142.149994,143.240005,142.110001,143.240005,55370600,106.467514
2007-01-16,143.070007,143.440002,142.729996,142.960007,44871300,106.259407
2007-01-17,142.850006,143.460007,142.729996,143.020004,50241400,106.303978
2007-01-18,143.169998,143.259995,142.309998,142.539993,68177300,105.947197
2007-01-19,142.539993,143.100006,142.460007,142.820007,56973000,106.155373
2007-01-22,143.070007,143.100006,141.929993,142.380005,60253600,105.828293
2007-01-23,142.259995,143.080002,142.059998,142.800003,54064400,106.140503
2007-01-24,142.970001,143.979996,142.910004,143.949997,55834700,106.995277
2007-01-25,143.860001,143.919998,142.009995,142.259995,73583800,105.739105
2007-01-26,142.570007,142.649994,141.580002,142.130005,67255600,105.642494
2007-01-29,142.190002,142.800003,141.740005,142.050003,66114600,105.583015
2007-01-30,142.350006,142.860001,142.059998,142.789993,70407600,106.133049
2007-01-31,142.630005,144.130005,142.399994,143.75,91868600,106.846588
2007-02-01,144.149994,144.660004,143.910004,144.610001,69312400,107.485802
2007-02-02,144.729996,144.949997,144.380005,144.809998,49607000,107.634445
2007-02-05,144.699997,144.940002,144.339996,144.850006,45705300,107.664215
2007-02-06,144.970001,145.029999,144.330002,144.889999,57081300,107.693939
2007-02-07,145.119995,145.360001,144.570007,145.210007,55669700,107.93177
2007-02-08,144.779999,145.119995,144.270004,145.020004,70641000,107.790535
2007-02-09,145.059998,145.330002,143.389999,143.940002,79084400,106.987808
2007-02-12,143.940002,144.039993,143.190002,143.449997,65657000,106.623581
2007-02-13,143.770004,144.899994,143.759995,144.660004,64081800,107.522957
2007-02-14,144.800003,145.899994,144.779999,145.610001,66039400,108.22908
2007-02-15,145.669998,145.949997,145.429993,145.800003,38715200,108.370308
2007-02-16,145.440002,145.759995,145.229996,145.729996,39841800,108.318283
2007-02-20,145.559998,146.199997,145,146.039993,56911800,108.548676
2007-02-21,145.610001,146.070007,145.350006,145.979996,63971600,108.504097
2007-02-22,146.050003,146.419998,145.169998,145.869995,79067400,108.422356
2007-02-23,145.740005,145.789993,145.029999,145.300003,71966200,107.998634
2007-02-26,145.830002,145.949997,144.75,145.169998,69192800,107.902016
2007-02-27,143.880005,144.199997,139,139.5,274466500,103.68766
2007-02-28,140.389999,141.979996,139.800003,140.929993,177536300,104.750526
2007-03-01,139.339996,141.25,138.050003,140.509995,212828600,104.438332
2007-03-02,140.050003,140.660004,138.660004,138.669998,162574000,103.07074
2007-03-05,137.929993,139.580002,137.330002,137.350006,143750400,102.089584
2007-03-06,138.779999,140.119995,137.720001,139.699997,143333300,103.836281
2007-03-07,139.589996,140.460007,139.399994,139.559998,115144900,103.732254
2007-03-08,140.539993,141.160004,140.070007,140.740005,117891600,104.609306
2007-03-09,141.309998,141.419998,140.080002,140.779999,107765100,104.639015
2007-03-12,140.419998,141.339996,140.160004,140.990005,80366900,104.79512
2007-03-13,140.179993,140.770004,138.039993,138.25,190605200,102.758522
2007-03-14,138.429993,139.360001,136.75,139.279999,231853800,103.524101
2007-03-15,138.970001,139.990005,138.800003,139.470001,132435900,103.665321
2007-03-16,139.309998,139.630005,138.119995,138.529999,121531600,103.375076
2007-03-19,139.259995,140.330002,139.149994,140.199997,96161200,104.621284
2007-03-20,140.080002,141.050003,139.960007,140.970001,82147400,105.195854
2007-03-21,141.100006,143.649994,140.820007,143.289993,152368700,106.927109
2007-03-22,143.479996,143.679993,142.789993,143.179993,118942200,106.845024
2007-03-23,143.279999,143.809998,143.149994,143.389999,74416800,107.001724
2007-03-26,143.5,143.649994,142.089996,143.199997,113787500,106.859962
2007-03-27,143.119995,143.160004,142.389999,142.860001,99864600,106.606224
2007-03-28,142.139999,142.470001,141.259995,141.820007,152907900,105.830154
2007-03-29,142.539993,142.610001,141.190002,141.970001,139432700,105.942116
2007-03-30,142.240005,142.839996,140.559998,142,128194100,105.964485
2007-04-02,142.160004,142.460007,141.479996,142.160004,79416400,106.083878
2007-04-03,142.970001,143.979996,142.910004,143.690002,82417800,107.225624
2007-04-04,143.690002,143.949997,143.160004,143.850006,63995200,107.344994
2007-04-05,143.669998,144.440002,143.610001,144.240005,46822800,107.636017
2007-04-09,144.649994,144.800003,144.149994,144.440002,50967400,107.785271
2007-04-10,144.330002,144.850006,144.270004,144.610001,56620000,107.912132
2007-04-11,144.820007,144.860001,143.539993,144.020004,106365700,107.471832
2007-04-12,143.740005,144.919998,143.339996,144.660004,115534400,107.949432
2007-04-13,144.899994,145.320007,144.360001,145.320007,84287000,108.441956
2007-04-16,145.830002,146.860001,145.820007,146.699997,83064600,109.471748
2007-04-17,146.970001,147.399994,146.649994,147.089996,108424100,109.762787
2007-04-18,146.600006,147.699997,146.570007,147.270004,88345300,109.89711
2007-04-19,146.550003,147.399994,146.360001,147.229996,102947700,109.867233
2007-04-20,148.220001,148.619995,147.039993,148.619995,124114100,110.904472
2007-04-23,148.369995,148.729996,147.970001,148.059998,77270800,110.48661
2007-04-24,148.229996,148.399994,147.320007,148.119995,114471000,110.531425
2007-04-25,148.729996,149.660004,148.020004,149.479996,108418800,111.546326
2007-04-26,149.490005,149.800003,149.100006,149.649994,88741600,111.673134
2007-04-27,149.089996,149.740005,148.839996,149.529999,108191100,111.58358
2007-04-30,149.639999,149.740005,148.210007,148.289993,100874100,110.658218
2007-05-01,148.419998,149.470001,147.669998,148.669998,134342700,110.941795
2007-05-02,148.899994,149.949997,148.75,149.539993,87129800,111.590988
2007-05-03,149.970001,150.399994,149.729996,150.350006,86569700,112.19548
2007-05-04,150.75,151.119995,150.220001,150.919998,96409000,112.620834
2007-05-07,150.880005,151.199997,150.809998,150.949997,63461400,112.643173
2007-05-08,150.580002,150.919998,150.130005,150.75,80584000,112.494019
2007-05-09,150.639999,152.820007,150.369995,151.160004,102070100,112.799904
2007-05-10,150.729996,151.020004,149.270004,149.580002,153617800,111.620934
2007-05-11,149.75,150.929993,149.720001,150.860001,113408900,112.57605
2007-05-14,150.860001,151.300003,149.789993,150.529999,108027500,112.329796
2007-05-15,150.699997,151.660004,150.190002,150.570007,180673300,112.359642
2007-05-16,150.800003,151.630005,150.380005,151.600006,114166500,113.128319
2007-05-17,151.380005,151.960007,151.110001,151.300003,101132800,112.904381
2007-05-18,152.009995,152.619995,151.809998,152.619995,99182000,113.88942
2007-05-21,152.580002,153.229996,152.5,152.539993,174664600,113.829735
